step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
277,CASH_OUT,135823.38,C1593233399,143871.0,8047.62,C1539414805,3200782.2,3336605.59,0,0
207,CASH_OUT,288639.74,C798341710,584.0,0.0,C1082976131,3005558.14,3294197.88,0,0
196,TRANSFER,553399.25,C1967632347,553399.25,0.0,C1971557254,0.0,0.0,1,0
79,TRANSFER,1619331.51,C144675030,1619331.51,0.0,C660991644,0.0,0.0,1,0
251,CASH_OUT,254768.53,C2070917948,5142.0,0.0,C1290691221,103461.62,358230.15,0,0
154,CASH_OUT,462549.47,C1673330424,0.0,0.0,C1083962448,1445124.78,1907674.25,0,0
37,CASH_IN,221420.51,C1752136098,6648016.21,6869436.72,C1638895667,1042561.5,821141.0,0,0
573,PAYMENT,7805.69,C1177986717,192065.85,184260.16,M1555481191,0.0,0.0,0,0
357,CASH_OUT,111731.47,C47570518,722.0,0.0,C1557726255,2772.26,114503.73,0,0
212,CASH_OUT,10000000.0,C1853514800,10000000.0,0.0,C591314687,0.0,10000000.0,1,0
519,TRANSFER,1049424.26,C448865084,1049424.26,0.0,C154141586,0.0,0.0,1,0
330,CASH_OUT,160389.72,C548876798,318.0,0.0,C280779082,0.0,160389.72,0,0
163,CASH_OUT,37108.79,C78570774,0.0,0.0,C1894895230,291560.35,328669.14,0,0
133,CASH_OUT,393037.05,C1220064555,11319.0,0.0,C153634664,9398167.95,9791205.0,0,0
34,CASH_IN,436612.58,C778373155,105026.0,541638.58,C972333343,90623.66,0.0,0,0
210,CASH_OUT,108174.35,C1782013815,0.0,0.0,C1357649798,131405.15,239579.5,0,0
615,CASH_OUT,368973.39,C1434246047,368973.39,0.0,C248129256,131867.63,500841.01,1,0
94,PAYMENT,4978.67,C948920956,0.0,0.0,M1583637594,0.0,0.0,0,0
326,CASH_OUT,201061.8,C2131880383,0.0,0.0,C209378559,800729.75,1001791.55,0,0
70,CASH_OUT,266766.78,C862440440,266766.78,0.0,C167070759,0.0,266766.78,1,0
155,CASH_IN,81336.88,C1840536689,10664046.05,10745382.93,C1624226019,1575229.56,1493892.68,0,0
286,CASH_OUT,49220.54,C1605622256,26952.25,0.0,C121368801,4755737.33,4804957.87,0,0
154,CASH_OUT,409521.86,C883172306,5575.42,0.0,C72737090,843135.18,1061944.03,0,0
34,CASH_IN,179314.04,C468862264,1334002.63,1513316.66,C2026194126,201633.0,0.0,0,0
369,CASH_OUT,112666.75,C573526118,0.0,0.0,C746074335,391586.91,504253.66,0,0
164,CASH_OUT,413326.98,C953659382,0.0,0.0,C2105060843,2339660.28,2225488.76,0,0
119,TRANSFER,21698.13,C483977018,21698.13,0.0,C2045926309,0.0,0.0,1,0
380,CASH_OUT,259820.39,C722639909,259820.39,0.0,C1903020590,32888.78,292709.17,1,0
416,CASH_IN,329779.77,C1776295794,1571185.47,1900965.24,C1311777600,876503.77,546724.0,0,0
311,CASH_OUT,268366.47,C316319818,268366.47,0.0,C1564045599,6454803.87,6723170.34,1,0
232,CASH_OUT,80404.76,C448202972,204381.0,123976.24,C258629428,1496536.37,1900680.59,0,0
709,TRANSFER,242296.17,C535302480,242296.17,0.0,C1442778560,0.0,0.0,1,0
331,TRANSFER,420330.71,C1868228472,420330.71,0.0,C1690604100,0.0,0.0,1,0
230,CASH_IN,209269.57,C1652730663,12096481.48,12305751.04,C65713770,213655.79,4386.22,0,0
10,CASH_IN,16188.2,C72770971,10800.0,26988.2,C682451393,0.0,0.0,0,0
275,CASH_IN,318968.88,C195375178,230690.55,549659.43,C1077045531,1044283.11,725314.23,0,0
235,CASH_IN,301791.37,C1573543136,1676989.6,1978780.97,C1926958271,1277444.64,975653.26,0,0
